date,_NAME_,SELL,PORT2,PORT3,PORT4,BUY,asyret
01OCT1998,mret,-3.635869076,-2.943668942,-3.35479986,-2.61787606,-2.057168169,1.578700907
02OCT1998,mret,2.1598188737,1.2710935976,1.2587239355,1.5937250603,2.6873442453,0.5275253715
05OCT1998,mret,-2.430065606,-1.216912021,-1.86623141,-0.833429746,-0.298884905,2.1311807014
06OCT1998,mret,-0.047799688,-0.11761868,0.0020862897,-1.02180475,0.2283410155,0.2761407032
07OCT1998,mret,-2.551625526,-2.230269502,-0.932241124,-1.349477571,-0.990155526,1.5614699999
08OCT1998,mret,-1.56546841,-2.021082101,-1.990120084,-0.895156135,-0.789747145,0.7757212651
09OCT1998,mret,3.4003130017,2.4032236414,2.7448007151,1.9124099041,1.7126716669,-1.687641335
12OCT1998,mret,1.7040753336,1.1478541661,1.8218577349,1.2535558594,0.7907215339,-0.9133538
13OCT1998,mret,0.7379848697,-0.333810973,-0.380746722,-0.407878079,-0.332838768,-1.070823637
14OCT1998,mret,0.602602006,1.7734496118,1.5838402662,1.5922571706,-0.225331508,-0.827933514
15OCT1998,mret,5.6246811968,3.7534966786,4.5044714149,3.2986052417,3.7614605139,-1.863220683
23OCT1998,mret,-0.071750379,-0.652902028,-0.536604388,-0.593593757,-0.883359388,-0.811609009
26OCT1998,mret,0.0642424081,-0.245512129,-0.511787865,0.7372711307,0.2833473477,0.2191049395
27OCT1998,mret,-1.521720328,-0.300191378,-0.346452347,-0.177556254,-0.581351866,0.9403684615
28OCT1998,mret,0.5146095542,0.631629657,-0.165687306,0.0729413881,-0.744374008,-1.258983562
29OCT1998,mret,2.1420042043,1.4888802551,1.7031861399,1.8363906582,1.4505307558,-0.691473449
30OCT1998,mret,1.6622012936,1.4058797472,1.5338061089,1.0517452702,1.4960872954,-0.166113998
02NOV1998,mret,1.389731108,1.2308333922,1.0428500352,1.4582428752,1.7763129442,0.3865818363
03NOV1998,mret,-0.615601018,0.5252566433,0.2855647513,-0.205460207,0.0016114585,0.6172124762
04NOV1998,mret,0.5717460618,0.4296302406,0.6262773595,0.6991652162,0.9681596373,0.3964135755
05NOV1998,mret,1.6917077562,1.2200941454,1.1265511202,1.4749636124,1.6955998643,0.0038921081
06NOV1998,mret,0.9001267948,0.5649837455,0.320490011,0.9696931147,0.3116708211,-0.588455974
09NOV1998,mret,-1.058706337,-0.82780613,-0.888478264,-1.151331063,-1.485097605,-0.426391268
10NOV1998,mret,-0.263219272,0.0674521589,-0.068119807,-0.450380784,-0.364097116,-0.100877844
11NOV1998,mret,-1.434238278,-0.511563069,-0.452317563,-0.882331604,-1.051955139,0.3822831397
12NOV1998,mret,-0.217565206,-0.162137821,-0.109457677,-0.011208149,-0.410335521,-0.192770314
13NOV1998,mret,0.4948010913,0.4274559327,0.8419517645,0.8689687858,1.0096781863,0.514877095
16NOV1998,mret,0.6281999035,0.8453258923,0.8375121962,0.7772341021,0.826680432,0.1984805286
17NOV1998,mret,0.5735304473,0.5749186037,0.1981693183,-0.301309822,0.212351861,-0.361178586
18NOV1998,mret,0.3793911442,0.3095579995,0.282604166,0.2757580854,0.9287489918,0.5493578477
19NOV1998,mret,0.8641980611,0.5495263492,0.6352515905,0.3289683659,0.6736655827,-0.190532478
20NOV1998,mret,1.2051010991,0.648740522,1.022178282,0.6736552687,1.2225710485,0.0174699494
23NOV1998,mret,2.2148985178,1.7122420904,1.4005674519,2.4061284226,1.7202938464,-0.494604671
24NOV1998,mret,-0.229173696,-0.375534815,-0.641920475,-0.109508878,-0.497131011,-0.267957315
25NOV1998,mret,0.3564977268,0.0851579608,0.0245688781,0.4157133619,0.476302004,0.1198042773
27NOV1998,mret,0.563148245,-0.107966446,0.3490926426,0.5019373909,0.3001137846,-0.26303446
30NOV1998,mret,-1.761430119,-2.13456035,-2.104356194,-2.019220885,-1.890710448,-0.12928033
01DEC1998,mret,0.1212704885,0.6407928023,0.1160143629,0.5291636715,0.3505125628,0.2292420743
02DEC1998,mret,-0.079523606,-0.042491004,-0.070300931,-0.363762213,0.1005552628,0.1800788689
03DEC1998,mret,-2.360072087,-1.335021215,-1.130810264,-1.385269744,-1.702983861,0.6570882257
04DEC1998,mret,1.8665879973,1.4663146048,1.8140002594,2.4219864741,1.6157201316,-0.250867866
07DEC1998,mret,0.3591215715,0.7025241345,0.5820751547,0.7840737286,0.7461516742,0.3870301027
08DEC1998,mret,-0.262684415,-0.629386934,-0.646370282,-0.337610612,-0.31826761,-0.055583195
09DEC1998,mret,0.55619742,-0.274242004,0.0360030004,-0.043649034,-0.58487806,-1.14107548
10DEC1998,mret,-1.415314427,-1.754026894,-1.088300783,-1.512534519,-1.943215269,-0.527900842
11DEC1998,mret,0.0663782427,-0.242822867,0.18598914,-0.376769614,-1.076556832,-1.142935075
14DEC1998,mret,-2.836861502,-1.332761943,-1.773746781,-2.010732118,-1.250215034,1.586646468
15DEC1998,mret,1.017305172,0.8970162741,1.3299869694,2.4398280096,1.532020294,0.514715122
16DEC1998,mret,0.4100487016,0.259000949,0.3951708358,-0.641622478,-0.411503759,-0.821552461
17DEC1998,mret,1.0443099599,1.3549574731,1.0475705873,2.2411994779,1.1804948376,0.1361848776
18DEC1998,mret,0.2457944201,-0.0245545,-0.006682467,0.7394469167,0.304165335,0.0583709149
21DEC1998,mret,1.0078933738,0.6511932632,0.5530512382,1.5642963658,1.1699887983,0.1620954245
22DEC1998,mret,0.4659164474,0.652756386,0.2192124257,-0.126073678,0.2114551994,-0.254461248
23DEC1998,mret,1.4583218832,1.7645171107,1.5807056019,2.2624758748,1.7176559844,0.2593341012
24DEC1998,mret,0.0803328005,0.3127308155,0.1556392917,-0.141917355,-0.035716466,-0.116049267
28DEC1998,mret,0.4108803381,-0.072956602,-0.234538908,0.0674862093,-0.211623345,-0.622503683
29DEC1998,mret,1.1261116323,1.1707082521,1.5559890339,1.72393831,1.3039148786,0.1778032463
30DEC1998,mret,-0.233540438,-0.35104683,-0.191346363,-0.861032242,0.0911423276,0.324682766
31DEC1998,mret,1.0936055848,0.4315605129,-0.112618174,0.0024326272,0.5067337854,-0.586871799
04JAN1999,mret,-0.721758825,-0.523367875,-0.473393515,-0.238608179,0.1117765125,0.8335353373
05JAN1999,mret,1.2566893166,0.6709965623,0.6769701577,1.1476093995,0.8296229464,-0.42706637
06JAN1999,mret,2.8408941701,1.2363998888,1.4157113022,2.253714586,1.8696908526,-0.971203318
07JAN1999,mret,0.3306744267,-0.449212972,-0.021451934,-0.233655037,-0.234036117,-0.564710544
08JAN1999,mret,0.2591676378,0.0062613947,0.43311357,0.4632540503,0.7526979954,0.4935303577
11JAN1999,mret,-0.32262629,-0.894742105,-1.32822119,-1.594235309,-0.817995512,-0.495369222
12JAN1999,mret,-1.428339187,-1.090630987,-1.847168428,-1.685669121,-1.911503191,-0.483164004
13JAN1999,mret,-1.181172716,-0.588747211,-0.262983575,-0.741867282,0.0708434847,1.2520162007
14JAN1999,mret,-1.450266509,-1.465477358,-1.724211543,-1.489376373,-1.919610321,-0.469343813
22JAN1999,mret,-0.794572496,-1.476308029,-0.526145603,-0.384999432,-0.389501031,0.4050714652
25JAN1999,mret,1.5761287895,0.6058454317,0.356565334,0.3372593288,0.0984637284,-1.477665061
26JAN1999,mret,1.119695488,1.0383214702,0.6223775321,1.4613304933,0.9371140889,-0.182581399
27JAN1999,mret,-0.524594062,-1.000516161,-0.523004012,-0.474527352,-0.242786801,0.2818072609
28JAN1999,mret,1.054838712,0.6303941095,1.3987761932,1.6154153055,1.216074838,0.161236126
29JAN1999,mret,0.9340655976,0.8250599188,0.5130950609,0.995485442,1.3717480148,0.4376824172
01FEB1999,mret,-0.143252806,-0.250609532,-0.891159364,-0.326288854,-0.790335418,-0.647082612
02FEB1999,mret,-0.411002686,-0.49424815,-0.449115873,-1.071244615,-0.586496,-0.175493314
03FEB1999,mret,0.4344117913,0.8214679044,0.8253439183,0.6803390481,1.5991338068,1.1647220155
04FEB1999,mret,-1.446143836,-1.26416631,-1.669590558,-1.155050732,-1.565345341,-0.119201505
05FEB1999,mret,-0.991098536,-0.286090443,-0.903787232,-0.93418619,-0.472281585,0.5188169511
08FEB1999,mret,-0.664529584,0.1752042395,-0.07922853,-0.067119704,0.4552230311,1.1197526152
09FEB1999,mret,-2.255586617,-1.902511169,-1.406563341,-1.511740352,-1.843197354,0.4123892635
10FEB1999,mret,0.6119225099,-0.057008015,0.8280700484,0.6713814817,-0.374401263,-0.986323773
11FEB1999,mret,3.142312645,1.6848432786,1.8448292034,1.9098806806,2.2972237341,-0.845088911
12FEB1999,mret,-1.449811247,-1.427909991,-1.341479327,-1.521304222,-1.492046812,-0.042235565
16FEB1999,mret,0.7100851092,0.5267410634,0.8387590967,1.2650629262,1.8217446146,1.1116595054
17FEB1999,mret,-1.058357591,-0.945453575,-0.715079778,-0.920814539,-2.111276367,-1.052918777
18FEB1999,mret,1.0020551603,0.9932515386,1.3174862248,0.996229918,0.739146929,-0.262908231
19FEB1999,mret,0.1812315157,-0.201943845,0.246639256,0.0169044929,0.1912650501,0.0100335344
22FEB1999,mret,2.9302048569,2.2566009414,2.4465893245,1.9426958036,2.6340204089,-0.296184448
23FEB1999,mret,0.0164280244,-0.425811713,-0.286444012,-0.224482306,-0.371682915,-0.38811094
24FEB1999,mret,-1.352356858,-1.194742547,-1.292245463,-0.933584427,-0.912900306,0.4394565515
25FEB1999,mret,-0.882631067,-0.796136602,-0.521279467,-0.634962175,-0.8928975,-0.010266433
26FEB1999,mret,0.1310556379,-0.669293542,-0.151640523,-0.180310852,0.2641068852,0.1330512474
01MAR1999,mret,0.1783335081,-0.159981523,0.0886912146,-0.337633579,-0.375575891,-0.553909399
02MAR1999,mret,-0.428009306,-0.371591975,-0.689264578,-0.412533855,0.1638640527,0.5918733588
03MAR1999,mret,-0.229655052,0.3249310301,-0.289592741,-0.034456464,0.2019205942,0.4315756459
04MAR1999,mret,1.6362770899,1.708279535,1.3537061292,1.0185127944,1.1642636394,-0.472013451
05MAR1999,mret,2.1760398445,2.000111928,1.9759066952,2.2697612242,2.1642425153,-0.011797329
08MAR1999,mret,0.3204299952,-0.137623484,0.2634293844,0.215222714,0.0891630301,-0.231266965
