"","year","month","observation_date","GDPC1","GDPchange_annual","INDPRO","INDPROchange_annual","T10Y3M","UNRATE","UNRATEchange_annual","CPIAUCSL","CPIchange_annual","vix","HedgingPressure"
"1","1982","01",1982-01-01,6799.233,-0.0219034898248506,49.0358,-0.0416480999398047,1.06,8.6,1.1,94.4,0.0825688073394496,NA,NA
"2","1982","02",1982-02-01,6799.233,-0.0219034898248506,50.0309,-0.018056599589016,1.03,8.9,1.5,94.7,0.0761363636363637,NA,NA
"3","1982","03",1982-03-01,6799.233,-0.0219034898248506,49.6876,-0.0296641448563271,0.19,9,1.6,94.7,0.0688487584650114,NA,NA
"4","1982","04",1982-04-01,6830.251,-0.0101056814657433,49.2266,-0.0342252766763912,0.72,9.3,2.1,95,0.0662177328843996,NA,NA
"5","1982","05",1982-05-01,6830.251,-0.0101056814657433,48.8924,-0.046271786518936,1.74,9.4,1.9,95.9,0.0691192865105909,NA,NA
"6","1982","06",1982-06-01,6830.251,-0.0101056814657433,48.7588,-0.0536810500594861,1.08,9.6,2.1,97,0.0718232044198895,NA,NA
"7","1982","07",1982-07-01,6804.139,-0.0255592143280542,48.5887,-0.0633088310421474,3.11,9.8,2.6,97.5,0.0655737704918033,NA,NA
"8","1982","08",1982-08-01,6804.139,-0.0255592143280542,48.1582,-0.0705849203714712,4.09,9.8,2.4,97.7,0.0596529284164859,NA,NA
"9","1982","09",1982-09-01,6804.139,-0.0255592143280542,48.0164,-0.0688938358555107,3.85,10.1,2.5,97.7,0.0494092373791623,NA,NA
"10","1982","10",1982-10-01,6806.857,-0.0144315617874044,47.571,-0.070608438783943,2.54,10.4,2.5,98.1,0.0503211991434688,NA,NA
"11","1982","11",1982-11-01,6806.857,-0.0144315617874044,47.4235,-0.0626173618441079,2.23,10.8,2.5,98,0.0447761194029851,NA,NA
"12","1982","12",1982-12-01,6806.857,-0.0144315617874044,47.0712,-0.0595728527760574,2.16,10.8,2.3,97.7,0.0382571732199788,NA,NA
